FID,POSTO,ESTACAO,ESTACAO_ID,LAT,LONG,LAT_DECIMAIS,LONG_DECIMAIS,ALT,T_MED_JAN,T_MED_FEV,T_MED_MAR,T_MED_ABR,T_MED_MAI,T_MED_JUN,T_MED_JUL,T_MED_AGO,T_MED_SET,T_MED_OUT,T_MED_NOV,T_MED_DEZ,T_MED_ANO,T_MAX_ANO,T_MIN_ANO,PRECIP_MD_JAN,PRECIP_MD_FEV,PRECIP_MD_MAR,PRECIP_MD_ABR,PRECIP_MD_MAI,PRECIP_MD_JUN,PRECIP_MD_JUL,PRECIP_MD_AGO,PRECIP_MD_SET,PRECIP_MD_OUT,PRECIP_MD_NOV,PRECIP_MD_DEZ,PRECIP_MD_ANO
125,3835322,SERRANEGRADONORTE,125,6°40',37°24',-6.67,-37.4,160.0m,27.9,27.2,26.7,26.5,26,25.3,25.3,25.9,26.9,27.6,28,28.2,26.8,32.9,21.3,70.4,140,203.5,184.8,74.6,24.7,15.2,3.1,1.9,4.4,15.1,20.2,758.1
126,3835398,PALMACAICO,126,6°40',37°1',-6.67,-37.02,190.0m,27.4,26.9,26.4,26.2,25.7,24.9,24.7,25.3,26.2,27,27.4,27.6,26.3,32.5,21,49.7,129.7,180.1,194.6,52.9,30.6,17.8,4,2.6,3,4.7,26.9,731
127,3835462,S.JOAODOSABUGI,127,6°43',37°12',-6.72,-37.2,175.0m,27.7,27.1,26.6,26.4,25.8,25.1,25,25.6,26.6,27.3,27.7,27.9,26.6,32.8,21.1,54.2,113.2,191.3,158.2,64.1,19.9,10.3,2.6,1.3,2.8,9.6,21.7,636.7
128,3836146,JARDIMDOSERIDO,128,6°35',36°47',-6.58,-36.78,220.0m,27,26.5,26.1,25.9,25.3,24.5,24.3,24.7,25.6,26.4,26.8,27.1,25.9,32.2,20.8,53.5,104.3,159.7,135.3,49.6,19.6,12.6,4,1.9,2.7,6.1,25.5,571.4
129,3836254,ZANGARELHAS,129,6°36',36°44',-6.6,-36.73,250.0m,26.7,26.3,25.9,25.7,25.1,24.3,24,24.4,25.3,26.1,26.5,26.8,25.6,32,20.6,53.9,121.9,182,168.8,45.6,22.4,20,4.8,1.7,2.3,4.3,23.9,651.3
130,3836369,PARELHAS,130,6°41',36°40',-6.68,-36.67,325.0m,26.1,25.8,25.4,25.1,24.5,23.6,23.3,23.7,24.6,25.4,25.9,26.2,25,31.5,20.2,47.6,113.5,161.7,138.2,43.9,18.7,9.5,3.8,2.7,4.1,6.2,20.4,561
131,3836411,OUROBRANCO,131,6°42',36°57',-6.7,-36.95,195.0m,27.3,26.8,26.4,26.1,25.6,24.8,24.6,25.1,26.1,26.8,27.3,27.5,26.2,32.5,21,43.6,104.4,167.8,143.7,56.4,21.6,12.7,2.3,2.4,2.7,6.4,24.3,590.8
132,3836449,UMARIPRETO,132,6°44',36°46',-6.73,-36.77,280.0m,26.6,26.1,25.7,25.5,24.9,24,23.8,24.2,25.1,25.9,26.4,26.7,25.4,31.9,20.5,39.1,107.3,224.7,145,59.9,32.6,7.9,2.3,0.5,4.8,7.6,26.1,666.6
133,3836957,EQUADOR,133,6°57',36°43',-6.95,-36.72,500.0m,25,24.6,24.3,24,23.3,22.3,21.9,22.2,23.2,24.2,24.7,25,23.7,30.4,19.3,29.6,75.9,125.6,103.3,36,18.6,8.8,2,1.5,2.5,5.5,17.5,459
134,3837101,RIACHOFUNDOFZCARNAUBASDOSDANTAS,134,6°33',36°30',-6.55,-36.5,500.0m,24.7,24.5,24.2,23.8,23.2,22.2,21.7,22,22.9,23.8,24.4,24.7,23.5,29.8,19.29,31.8,70.3,125.9,108.6,50.8,29.8,16.4,2.2,0.7,2.6,1.8,12.8,594.2
